漁獲金額の推移,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年
魚類（万円）,1031,1150,1096,871,904,933,1012,1188,1278,1289
水産動物・貝類（万円）,325,300,311,328,279,230,309,295,206,261
藻類（万円）,209,135,79,228,173,161,103,88,94,112
