種別,名称,所在地,指定年月日
特別天然記念物,大島のサクラ株,大島町泉津,1952-03-29特天
特別天然記念物,カモシカ,大島町泉津（大島公園内）,1955-02-15特天
天然記念物,シイノキ山のシイノキ群叢,大島町泉津,1951/6/9
天然記念物,大島海浜植物群落,大島町泉津,1951/6/9
天然記念物,アカコッコ,★,1975/2/13
天然記念物,イイジマムシクイ,★,1975/6/26
天然記念物,オカヤドカリ,★,1970/11/12
天然記念物,オジロワシ,大島町泉津（大島公園内）,1970/1/23
天然記念物,カラスバト,大島町泉津（大島公園内）,1971/5/19
天然記念物,カンムリウミスズメ,★,1975/6/26
天然記念物,コクガン,大島町泉津（大島公園内）,1971/5/19
天然記念物,マガン,大島町泉津（大島公園内）,1971/6/28
重要無形民俗文化財,神津島のかつお釣り,神津島村物忌奈命神社,1999-12-21(1958-10-07)
重要無形民俗文化財,新島の大踊,新島村本村／新島村若郷,2005-02-21(1958-10-07)
