区分,2012年度月平均,2013年度月平均,2014年度月平均,2015年度月平均,2016年度月平均
世帯員が働いている世帯（単位：世帯）,147,151,144,142,143
世帯員が働いている世帯割合（％）,89.1,90.4,87.3,86.1,87.7
世帯主が働いている世帯（単位：世帯）,16,15,18,21,19
世帯主が働いている世帯割合（％）,9.7,9,10.9,12.7,11.7
働いている者のいない世帯（単位：世帯）,2,1,3,2,1
働いている者のいない世帯割合（％）,1.2,0.6,1.8,1.2,0.6
