区分,件名,工事請負費（千円）,委託料（千円）,計（千円）,摘 要
自然公園管理費,海のふるさと村清掃委託,,23067,23067,
自然公園管理費,大島公園椿園管理委託,,91842,91842,
自然公園管理費,大島公園浄化槽保守点検清掃委託,,5908,5908,
自然公園管理費,新島羽伏浦公園管理委託,,4644,4644,
自然公園管理費,式根島園地施設浄化槽点検他清掃委託 ,,1453,1453,
自然公園管理費,園地清掃管理委託(神津島村),6665,,6665,
自然公園管理費,大島公園マツノザイセンチュウ防除作業委託,,8900,8900,
自然公園管理費,大島公園照明設備改修工事,19362,,19362,
自然公園管理費,その他の工事請負費及び委託料,14622,189965,204587,
自然公園管理費,計,40649,325779,366428,
自然公園整備費,海のふるさと村設備改修設計,,1861,1861,
自然公園整備費,大島集団施設地区内危険木点検委託,,4806,4806,
自然公園整備費,大島仲の原園地施設改修設計,,2496,2496,
自然公園整備費,大島公園看板改修設計,,1804,1804,
自然公園整備費,新島羽伏浦野営場施設改修工事施工監理委託,,1405,1405,
自然公園整備費,神津島多幸湾ファミリーキャンプ場施設改修設計,,2009,2009,
自然公園整備費,海のふるさと村取付道路改修工事,55507,,55507,
自然公園整備費,大島公園椿園施設改修工事,14202,,14202,
自然公園整備費,大島公園動物園動物病院施設改修工事,14425,,14425,
自然公園整備費,大島トウシキ園地施設改修工事,26633,,26633,
自然公園整備費,大島仲の原園地四阿設置工事,30623,,30623,
自然公園整備費,新島羽伏浦野営場施設改修工事,39681,,39681,
自然公園整備費,その他の工事請負費及び委託料,26664,15404,42068,
自然公園整備費,計,207735,29785,237520,
外来生物対策事業費,大島キョン防除委託(単価契約) 北部地区,,46888,46888,
外来生物対策事業費,大島キョン防除委託(単価契約) 南部地区,,38541,38541,
外来生物対策事業費,その他の委託料,,48887,48887,
外来生物対策事業費,計,0,134316,134316,
緊急対策事業費,大島キョン地籍調査承諾業務委託,,16200,16200,
緊急対策事業費,大島キョン防除委託（高密度地域）,,42693,42693,
緊急対策事業費,大島キョン防除委託（市街地周辺地域）,,32575,32575,
緊急対策事業費,大島キョン防除委託（重点地域）,,51840,51840,
緊急対策事業費,大島キョン防除柵設置工事（単価契約）,77264,,77264,
緊急対策事業費,その他の委託料,,32044,32044,
緊急対策事業費,計,77264,175352,252616,
