町村名,組合名,正組合員数,准組合員数,組合員計,理事数,職員数,決算日,設立年月日
大島町,伊豆大島,174,871,1045,5,5,3.31,2003/7/1
大島町,元町,63,229,292,6,0,12.31,1950/3/31
大島町,小計,237,1100,1337,11,5,-,-
利島村,利島村,28,42,70,5,3,12.31,1951/5/4
新島村,にいじま,79,466,545,6,7,12.31,2002/7/1
神津島村,神津島,170,193,363,7,11,12.31,1949/9/16
計,,514,1801,2315,29,26,-,-
新島水産加工,,16,,16,5,2,12.31,1949/8/4
