町村別,大島町,利島村,新島村,式根島,神津島村
消防団数／団,1,1,1,1,1
消防団数／分団,8,2,8,3,3
団員数／条例定数,414,40,200,80,210
団員数／実員,271,31,132,47,185
団員１人あたりの人口,28.3,7.8,16.4,11,10.3
消防自動車、ポンプ1台あたり／面積（km2）,4.55,0.69,2.62,0.65,1.03
消防自動車、ポンプ1台あたり／人口,387,53,241,86,106
消防ポンプ自動車等現有数／普通消防ポンプ自動車,8,0,0,0,9
消防ポンプ自動車等現有数／水槽付消防ポンプ自動車,2,0,1,0,1
消防ポンプ自動車等現有数／小型動力ポンプ,10,6,8,6,8
消防ポンプ自動車等現有数／計,20,6,9,6,18
消防団出動回数2018.1.1～2018.12.31／火災／回数,5,0,2,1,0
消防団出動回数2018.1.1～2018.12.31／火災／延人員,370,0,203,35,0
消防団出動回数2018.1.1～2018.12.31／救助／回数,0,0,0,0,0
消防団出動回数2018.1.1～2018.12.31／救助／延人員,0,0,0,0,0
消防団出動回数2018.1.1～2018.12.31／風水害等災害／回数,2,0,0,0,0
消防団出動回数2018.1.1～2018.12.31／風水害等災害／延人員,236,0,0,0,0
消防団出動回数2018.1.1～2018.12.31／演習訓練／回数,40,2,2,2,18
消防団出動回数2018.1.1～2018.12.31／演習訓練／延人員,4800,40,142,97,309
消防団出動回数2018.1.1～2018.12.31／広報・指導／回数,2,0,0,0,0
消防団出動回数2018.1.1～2018.12.31／広報・指導／延人員,270,0,0,0,0
消防団出動回数2018.1.1～2018.12.31／特別警戒／回数,0,18,142,111,86
消防団出動回数2018.1.1～2018.12.31／特別警戒／延人員,0,53,487,407,529
消防団出動回数2018.1.1～2018.12.31／警棒調査／回数,0,0,0,0,1
消防団出動回数2018.1.1～2018.12.31／警棒調査／延人員,0,0,0,0,35
消防団出動回数2018.1.1～2018.12.31／捜索／回数,2,0,0,2,0
消防団出動回数2018.1.1～2018.12.31／捜索／延人員,91,0,0,38,0
消防団出動回数2018.1.1～2018.12.31／その他／回数,0,3,13,13,0
消防団出動回数2018.1.1～2018.12.31／その他／延人員,0,47,360,146,0
消防団出動回数2018.1.1～2018.12.31／合計／回数,51,23,159,129,105
消防団出動回数2018.1.1～2018.12.31／合計／延人員,5767,140,1192,723,873
