島別,大島／2017年（人）,大島／2016年（人）,利島／2017年（人）,利島／2016年（人）,新島／2017年（人）,新島／2016年（人）,式根島／2017年（人）,式根島／2016年（人）,神津島／2017年（人）,神津島／2016年（人）,計／2017年（人）,計／2016年（人）,前年対比（％）
1月,15570,13679,481,496,2172,2357,447,332,1857,1611,20527,18475,111.1
2月,26459,23227,467,450,2128,2329,470,443,1749,1376,31273,27825,112.4
3月,36003,28352,565,570,2917,2750,886,724,2585,2339,42956,34735,123.7
4月,14684,14189,611,477,3199,3394,915,993,2247,2329,21656,21382,101.3
5月,18637,16839,1114,802,5784,5226,2187,1752,4849,3368,32571,27987,116.4
6月,16198,15198,619,691,3406,3436,1205,1150,2532,2119,23960,22594,106
7月,21367,20507,1140,1039,6613,6426,5221,4837,7163,6400,41504,39209,105.9
8月,30305,28082,1352,1015,11362,9516,9527,7731,13046,10733,65592,57077,114.9
9月,17396,18258,759,725,4545,4850,2973,3728,4643,4613,30316,32174,94.2
10月,14491,18174,455,747,2601,3357,763,1269,2164,2634,20474,26181,78.2
11月,16444,16814,665,529,3256,2595,1023,858,2479,2137,23867,22933,104.1
12月,16432,16349,541,502,2564,2717,684,568,2140,1925,22361,22061,101.4
計,243986,229668,8769,8043,50547,48953,26301,24385,47454,41584,377057,352633,106.9
前年対比（％）,106.2,,109,,103.3,,107.9,,114.1,,106.9,,
