項目,大島町,利島村,新島村,神津島村,合計
一般公共事業債（千円）,0,0,0,0,0
一般単独事業債（千円）,134600,0,2440,3900,140940
公営住宅建設事業債（千円）,0,0,52490,0,52490
学校教育施設等整備事業債（千円）,422553,7405,184408,56872,671238
辺地対策事業債（千円）,1211448,5872,550032,157589,1924941
災害復旧事業債（千円）,700,0,0,0,700
災害復旧事業債／単独災害復旧事業債（千円）,0,0,0,0,0
災害復旧事業債／補助災害復旧事業債（千円）,700,0,0,0,700
一般廃棄物処理事業債（千円）,1167300,0,132255,2801,1302356
社会福祉施設整備事業債（千円）,0,0,0,0,0
過疎対策事業債（千円）,622661,0,698728,0,1321389
財源対策債（千円）,240950,0,0,0,240950
臨時財政特例債（千円）,0,0,0,0,0
調整債（千円）,0,0,0,0,0
都道府県貸付金（千円）,2137120,61355,37041,0,2235516
その他（千円）,2349939,266379,1123030,720035,4459383
合計（千円）,8287271,341011,2780424,941197,12349903
