学校名,卒業者数,男,女,進学者数/管内都立(男),進学者数/管内都立(女),進学者数/管外都立(男),進学者数/管外都立(女),進学者数/私立(男),進学者数/私立(女),就職者数/島内(男),就職者数/島内(女),就職者数/島外(男),就職者数/島外(女),進学就職者数/島内(男),進学就職者数/島内(女),進学就職者数/島外(男),進学就職者数/島外(女),その他（県立等）(男),その他（県立等）(女)
第一中,20,10,10,9,8,1,1,0,1,0,0,0,0,0,0,0,0,0,0
第二中,22,9,13,7,11,1,2,1,0,0,0,0,0,0,0,0,0,0,0
第三中,15,6,9,5,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0
大島計,57,25,32,21,28,2,3,2,1,0,0,0,0,0,0,0,0,0,0
利島中,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
新島中,27,16,11,15,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0
式根中,5,3,2,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0
新島計,32,19,13,15,11,2,1,2,1,0,0,0,0,0,0,0,0,0,0
神津中,17,10,7,8,5,1,2,1,0,0,0,0,0,0,0,0,0,0,0
合計,108,56,52,44,44,6,6,6,2,0,0,0,0,0,0,0,0,0,0
