区分,計,大島町,利島村,新島村,神津島村
対象年齢児童数／（1～5歳）（A）,507,309,19,84,95
保育所定員（B）,535,290,25,130,90
保育所数,9,5,1,2,1
保育所入所児童数（C）,340,219,12,50,59
定員充足率（C／B％）,63.6,75.5,48,38.5,65.6
入所率（C／A％）,67.1,70.9,63.2,59.5,62.1
定員率（B／A％）,105.5,93.9,131.6,154.8,94.7
