業種,総数,大島町,利島村,新島村,神津島村,監視件数
総数,474,205,18,149,102,511
理容所,16,8,1,4,3,16
美容所,28,15,1,8,4,25
クリーニング所（一般）,6,4,-,1,1,6
興行場,-,-,-,-,-,-
旅館業,310,110,12,106,82,352
旅館業／旅館・ホテル営業,69,32,1,10,26,115
旅館業／簡易宿所,241,78,11,96,56,237
旅館業／下宿,-,-,-,-,-,-
公衆浴場,14,8,-,4,2,30
プール,22,12,2,6,2,31
プール／許可,9,6,1,2,-,19
プール／届出,13,6,1,4,2,12
水道施設,23,16,1,4,2,19
水道施設／上水道,1,1,-,-,-,1
水道施設／簡易水道,3,-,1,1,1,-
水道施設／専用水道,1,1,-,-,-,1
水道施設／簡易専用水道,18,14,-,3,1,17
温泉利用施設,25,11,-,10,4,23
墓地等,25,16,1,6,2,4
墓地等／墓地,20,14,1,4,1,-
墓地等／納骨堂,1,1,-,-,-,-
墓地等／火葬場,4,1,-,2,1,4
ビル管理法特定建築物,5,5,-,-,-,5
