区分,2014年度月平均,2015年度月平均,2016年度月平均,2017年度月平均,2018年度月平均
世帯員が働いている世帯（単位：世帯）,144,142,143,153,152
世帯員が働いている世帯割合（％）,87.3,86.1,87.7,93.3,92.7
世帯主が働いている世帯（単位：世帯）,18,21,19,10,10
世帯主が働いている世帯割合（％）,10.9,12.7,11.7,6.1,6.1
働いている者のいない世帯（単位：世帯）,3,2,1,1,2
働いている者のいない世帯割合（％）,1.8,1.2,0.6,0.6,1.2
