行為種別,2016年度,2017年度,2018年度
工作物の新改増築／一般住宅,1,3,1
工作物の新改増築／宿泊施設,1,0,0
工作物の新改増築／店舗,0,0,0
工作物の新改増築／その他建築物,59,22,34
工作物の新改増築／道路・電柱等工作物,15,16,13
木竹の伐採,3,1,0
土石の採取,6,15,6
植物の採取,2,3,3
土地の形状変更,1,4,1
その他,6,5,2
届出,12,9,3
合計,106,78,63
(再掲)許可権者／環境大臣,7,3,0
(再掲)許可権者／地方事務所長,24,25,21
(再掲)許可権者／都知事,32,23,14
(再掲)許可権者／支庁長,43,27,28
