事業名,町村名,地区名,事業内容,事業実施主体,総事業費（円）,都補助金（円）
公共土地改良事業／基盤整備促進事業,大島町,岡田平浜,農道改修,大島町,22690800,17018000
公共土地改良事業／基盤整備促進事業,新島村,新島,農道改修等,新島村,6915406,5186000
公共土地改良事業／基盤整備促進事業,小計,,,,29606206,22204000
公共土地改良事業／小規模土地改良事業,大島町,野地,農道改修,大島町,9990000,4995000
公共土地改良事業／小規模土地改良事業,新島村,若郷,基本設計,新島村,2916000,1166000
公共土地改良事業／小規模土地改良事業,小計,,,,12906000,6161000
農地防災事業／ため池等整備,大島町,滝川,実施設計,大島町,3996000,2996000
合計,,,,,46508206,31361000
