町村名,環境確保条例／工場,環境確保条例／作業場,大気汚染防止法／粉じん,大気汚染防止法／ばい煙,大気汚染防止法／水銀,水質汚濁防止法,ダイオキシン類対策特別措置法
大島町,31,30,1,12,1,35,3
利島町,5,1,0,2,1,2,1
新島町,25,5,0,5,2,17,2
神津島村,10,3,0,2,1,23,1
計,71,39,1,21,5,77,7
