地域,割合（％）
大島町,37.3
利島村,24.3
新島村,39.0
神津島村,29.3
大島支庁,36.1
三宅支庁,36.6
八丈島支庁,37.3
小笠原支庁,15.1
島部,34.7
全国,27.8
全都,22.6
区部,21.6
市部,24.6
町村部,33.1
