町村名,漁業協同組合（地区名）,補償件数（人）
大島町,伊豆大島（泉津・岡田）,8
大島町,伊豆大島（野増・差木地・波浮港）,8
大島町,元町,0
利島村,利島村,0
新島村,にいじま（若郷）,9
新島村,にいじま（本村）,14
新島村,にいじま（式根島）,8
神津島村,神津島,62
合計,,109
