地区別／事業別,道路橋梁事業／面積（m2）,道路橋梁事業／金額（千円）,交通安全事業／面積（m2）,交通安全事業／金額（千円）,砂防事業／面積（m2）,砂防事業／金額（千円）,計／面積（m2）,計／金額（千円）
大島町,264.49,41775,0,0,158319.97,1038444,158584.46,1080219
利島村,-,-,-,-,-,-,-,-
新島村,-,-,-,-,-,-,-,-
神津島村,1581.78,4897,498.59,3546,4902.84,123669,6983.21,132112
計,1846.27,46672,498.59,3546,163222.81,1162113,165567.67,1212331
