船別,島名,項目,４月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月,合計
ジェットフォイル,大島,就航予定便数,165,203,191,256,290,237,182,146,152,164,183,220,2389
ジェットフォイル,大島,就航便数／元町,65,78,65,103,103,18,36,87,43,38,22,30,688
ジェットフォイル,大島,就航便数／岡田,83,122,119,135,154,194,140,59,109,126,161,182,1584
ジェットフォイル,大島,就航便数／計,148,200,184,238,257,212,176,146,152,164,183,212,2272
ジェットフォイル,大島,欠航便数,17,3,7,18,33,25,6,0,0,0,0,8,117
ジェットフォイル,大島,就航率（％）,89.7,98.5,96.3,93,88.6,89.5,96.7,100,100,100,100,96.4,95.1
ジェットフォイル,利島,就航予定便数,58,62,60,62,62,60,62,18,8,8,0,0,460
ジェットフォイル,利島,就航便数,39,45,45,52,40,32,25,9,3,4,0,0,294
ジェットフォイル,利島,欠航便数,19,17,15,10,22,28,37,9,5,4,0,0,166
ジェットフォイル,利島,就航率（％）,67.2,72.6,75,83.9,64.5,53.3,40.3,50,37.5,50,―,―,63.9
ジェットフォイル,新島,就航予定便数,67,70,60,98,124,60,68,18,8,8,0,0,581
ジェットフォイル,新島,就航便数／新島,40,40,37,58,44,10,12,4,2,0,0,0,247
ジェットフォイル,新島,就航便数／羽伏,0,0,0,0,0,0,0,0,0,0,0,0,0
ジェットフォイル,新島,就航便数／若郷,13,21,14,31,60,39,49,14,4,5,0,0,250
ジェットフォイル,新島,就航便数／計,53,61,51,89,104,49,61,18,6,5,0,0,497
ジェットフォイル,新島,欠航便数,14,9,9,9,20,11,7,0,2,3,0,0,84
ジェットフォイル,新島,就航率（％）,79.1,87.1,85,90.8,83.9,81.7,89.7,100,75,62.5,―,―,85.5
ジェットフォイル,式根島,就航予定便数,67,70,62,98,124,60,68,18,8,8,0,0,583
ジェットフォイル,式根島,就航便数／野伏,53,61,53,89,102,50,61,18,6,5,0,0,498
ジェットフォイル,式根島,就航便数／式根島,0,0,0,0,0,0,0,0,0,0,0,0,0
ジェットフォイル,式根島,就航便数／計,53,61,53,89,102,50,61,18,6,5,0,0,498
ジェットフォイル,式根島,欠航便数,14,9,9,9,22,10,7,0,2,3,0,0,85
ジェットフォイル,式根島,就航率（％）,79.1,87.1,85.5,90.8,82.3,83.3,89.7,100,75,62.5,―,―,85.4
ジェットフォイル,神津島,就航予定便数,64,62,60,72,86,60,68,18,8,8,0,0,506
ジェットフォイル,神津島,就航便数／神津島,21,30,24,49,32,24,28,6,4,0,0,0,218
ジェットフォイル,神津島,就航便数／三浦,33,28,32,19,40,28,38,12,4,6,0,0,240
ジェットフォイル,神津島,就航便数／計,54,58,56,68,72,52,66,18,8,6,0,0,458
ジェットフォイル,神津島,欠航便数,10,4,4,4,14,8,2,0,0,2,0,0,48
ジェットフォイル,神津島,就航率（％）,84.4,93.5,93.3,94.4,83.7,86.7,97.1,100,100,75,―,―,90.5
ジェットフォイル,大島／熱海,就航予定便数,83,128,120,137,144,119,90,78,86,96,166,172,1419
ジェットフォイル,大島／熱海,就航便数,76,126,116,127,126,108,86,78,86,96,166,163,1354
ジェットフォイル,大島／熱海,欠航便数,7,2,4,10,18,11,4,0,0,0,0,9,65
ジェットフォイル,大島／熱海,就航率（％）,91.6,98.4,96.7,92.7,87.5,90.8,95.6,100,100,100,100,94.8,95.4
ジェットフォイル,大島／伊東,就航予定便数,8,12,60,24,0,0,12,18,24,22,54,48,282
ジェットフォイル,大島／伊東,就航便数,6,12,58,24,0,0,12,18,24,22,54,45,275
ジェットフォイル,大島／伊東,欠航便数,2,0,2,0,0,0,0,0,0,0,0,3,7
ジェットフォイル,大島／伊東,就航率（％）,75,100,96.7,100,―,―,100,100,100,100,100,93.8,97.5
ジェットフォイル,大島／稲取,就航予定便数,16,0,0,0,0,0,0,0,0,13,138,136,303
ジェットフォイル,大島／稲取,就航便数,15,0,0,0,0,0,0,0,0,13,136,126,290
ジェットフォイル,大島／稲取,欠航便数,1,0,0,0,0,0,0,0,0,0,2,10,13
ジェットフォイル,大島／稲取,就航率（％）,93.8,―,―,―,―,―,―,―,―,100,98.6,92.6,95.7
