区分,給与所得（千円）,構成比（％）,営業所得（千円）,構成比（％）,農業所得（千円）,構成比（％）,その他の所得（千円）,構成比（％）,分離課税（千円）,構成比（％）,合計（千円）,構成比（％）
大島町,8381698,84.3,424853,4.3,26899,0.3,855127,8.6,248593,2.5,9937170,100
利島村,497403,90,22780,4.1,11685,2.1,20735,3.8,0,0,552603,100
新島村,2487677,83.7,216056,7.3,1034,0,264811,8.9,2132,0.1,2971710,100
神津島村,2030230,79.9,380543,15,4135,0.2,108960,4.3,16217,0.6,2540085,100
合計,13397008,83.7,1044232,6.5,43753,0.3,1249633,7.8,266942,1.7,16001568,100
