宿泊施設,総計／計,総計／公営,総計／民営,旅館(ﾎﾃﾙ),民宿･ペンション／通年,民宿･ペンション／季節,キャンプ場／公営,キャンプ場／民営,バンガロー／公営,バンガロー／民営,国民宿舎(準ずるものを含む)／公営,国民宿舎(準ずるものを含む)／民営
大島／軒数（軒）,58,3,55,12,43,0,2,0,1,0,0,0
大島／定員（人）,2019,308,1711,740,971,0,260,0,48,0,0,0
利島／軒数（軒）,9,0,9,1,8,0,0,0,0,0,0,0
利島／定員（人）,146,0,146,20,126,0,0,0,0,0,0,0
新島／軒数（軒）,43,3,40,2,29,8,1,1,0,0,2,0
新島／定員（人）,1279,230,1049,81,578,240,150,150,0,0,80,0
式根島／軒数（軒）,42,2,40,6,34,0,2,0,0,0,0,0
式根島／定員（人）,1180,150,1030,124,906,0,150,0,0,0,0,0
神津島／軒数（軒）,40,1,39,11,26,2,1,0,0,0,0,0
神津島／定員（人）,906,59,847,373,424,50,59,0,0,0,0,0
合計／軒数（軒）,192,9,183,32,140,10,6,1,1,0,2,0
合計／定員（人）,5530,747,4783,1388,3005,290,619,150,48,0,80,0
