項目,大島町,利島村,新島村,神津島村,都内町村計,都内市町村計
地方税（千円）,967024,45323,342835,236064,13659750,729068381
地方税構成比（％）,9.5,3.6,8.8,7.7,19.1,44.7
地方譲与税（千円）,58953,2189,17774,8487,351557,6876407
地方譲与税構成比（％）,0.6,0.2,0.5,0.3,0.5,0.4
利子割交付金（千円）,1557,85,526,371,18053,1244155
利子割交付金構成比（％）,0,0,0,0,0,0.1
配当割交付金（千円）,5087,279,1714,1215,58857,4057811
配当割交付金構成比（％）,0.1,0,0,0,0.1,0.2
株式等譲渡所得等交付金（千円）,2958,163,990,706,34033,2354197
株式等譲渡所得等交付金構成比（％）,0,0,0,0,0,0.1
地方消費税交付金（千円）,173114,7653,61266,41174,1907121,86239234
地方消費税交付金構成比（％）,1.7,0.6,1.6,1.3,2.7,5.3
ゴルフ場利用税交付金（千円）,770,0,0,0,770,418034
ゴルフ場利用税交付金構成比（％）,0,0,0,0,0,0
特別地方消費税交付金（千円）,0,0,0,0,0,0
特別地方消費税交付金構成比（％）,0,0,0,0,0,0
軽油引取税・自動車取得税交付金（千円）,26481,986,8024,3816,153975,3123332
軽油引取税・自動車取得税交付金構成比（％）,0.3,0.1,0.2,0.1,0.2,0.2
地方特例交付金（千円）,1396,0,443,122,44423,2850820
地方特例交付金構成比（％）,0,0,0,0,0.1,0.2
地方交付税（千円）,2108693,377505,1472544,916719,15242395,49951063
地方交付税構成比（％）,20.7,30.2,37.8,29.7,21.3,3.1
交通安全対策特別交付金（千円）,2960,0,1207,578,22774,497342
交通安全対策特別交付金構成比（％）,0,0,0,0,0,0
分担金・負担金（千円）,21671,0,0,492,239272,15093501
分担金・負担金構成比（％）,0.2,0,0,0,0.3,0.9
使用料（千円）,153160,17961,102374,37872,1198020,17367991
使用料構成比（％）,1.5,1.4,2.6,1.2,1.7,1.1
手数料（千円）,99210,167,10729,14574,545852,15113147
手数料構成比（％）,1,0,0.3,0.5,0.8,0.9
国庫支出金（千円）,1041046,51396,105967,185268,5124291,274522048
国庫支出金構成比（％）,10.2,4.1,2.7,6,7.2,16.8
国有提供施設等所在地町村助成交付金（千円）,0,0,14169,0,923518,3818507
国有提供施設等所在地町村助成交付金構成比（％）,0,0,0.4,0,1.3,0.2
都支出金（千円）,3001231,425510,1318066,1166074,20032771,221393210
都支出金構成比（％）,29.5,34.1,33.9,37.8,28,13.6
財産収入（千円）,20547,4457,33337,10326,383603,5110487
財産収入構成比（％）,0.2,0.4,0.9,0.3,0.5,0.3
寄付金（千円）,3263,275,5795,1486,129696,2456338
寄付金構成比（％）,0,0,0.1,0,0.2,0.2
繰入金（千円）,654355,182258,24917,91493,2953040,49123202
繰入金構成比（％）,6.4,14.6,0.6,3,4.1,3
繰越金（千円）,307632,67833,204169,49539,2411327,55349312
繰越金構成比（％）,3,5.4,5.2,1.6,3.4,3.4
諸収入（千円）,187600,51608,92118,53917,2086005,16577445
諸収入構成比（％）,1.8,4.1,2.4,1.7,2.9,1
地方債（千円）,1332840,13078,71730,263098,3909447,69498217
地方債構成比（％）,13.1,1,1.8,8.5,5.5,4.3
合計（千円）,10171548,1248726,3890694,3083391,71430550,1632104181
合計構成比（％）,100,100,100,100,100,100
