区分,計,大島町,利島村,新島村,神津島村
対象年齢児童数／（1～5歳）（A）,489,271,15,93,110
保育所定員（B）,505,260,25,130,90
保育所数,8,4,1,2,1
保育所入所児童数（C）,367,223,15,61,68
定員充足率（C／B％）,72.7,85.8,60,46.9,75.6
入所率（C／A％）,75.1,82.3,100,65.6,61.8
定員率（B／A％）,103.3,95.9,166.7,139.8,81.8
