船別,島名,項目,４月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月,合計
ジェットフォイル,大島,就航予定便数,159,209,171,257,282,196,162,146,151,166,191,237,2327
ジェットフォイル,大島,就航便数／元町,45,101,38,106,87,18,20,36,39,18,13,31,552
ジェットフォイル,大島,就航便数／岡田,105,94,128,149,161,168,142,108,103,139,158,206,1661
ジェットフォイル,大島,就航便数／計,150,195,166,255,248,186,162,144,142,157,171,237,2213
ジェットフォイル,大島,欠航便数,9,14,5,2,34,10,0,2,9,9,20,0,114
ジェットフォイル,大島,就航率（％）,94.3,93.3,97.1,99.2,87.9,94.9,100,98.6,94,94.6,89.5,100,95.1
ジェットフォイル,利島,就航予定便数,54,62,60,62,62,60,30,10,10,8,0,0,418
ジェットフォイル,利島,就航便数,34,45,49,56,36,44,16,7,5,0,0,0,292
ジェットフォイル,利島,欠航便数,20,17,11,6,26,16,14,3,5,8,0,0,126
ジェットフォイル,利島,就航率（％）,63,72.6,81.7,90.3,58.1,73.3,53.3,70,50,0,―,―,69.9
ジェットフォイル,新島,就航予定便数,58,73,60,105,139,61,30,10,10,8,0,0,554
ジェットフォイル,新島,就航便数／新島,34,51,42,95,69,26,8,4,2,0,0,0,331
ジェットフォイル,新島,就航便数／羽伏,0,0,0,0,0,0,0,0,0,2,0,0,2
ジェットフォイル,新島,就航便数／若郷,16,15,13,5,41,28,21,6,6,0,0,0,151
ジェットフォイル,新島,就航便数／計,50,66,55,100,110,54,29,10,8,2,0,0,484
ジェットフォイル,新島,欠航便数,8,7,5,5,29,7,1,0,2,6,0,0,70
ジェットフォイル,新島,就航率（％）,86.2,90.4,91.7,95.2,79.1,88.5,96.7,100,80,25,―,―,87.4
ジェットフォイル,式根島,就航予定便数,60,77,62,108,140,60,30,10,10,8,0,0,565
ジェットフォイル,式根島,就航便数／野伏,52,69,57,103,111,53,29,10,8,2,0,0,494
ジェットフォイル,式根島,就航便数／式根島,0,0,0,0,0,0,0,0,0,0,0,0,0
ジェットフォイル,式根島,就航便数／計,52,69,57,103,111,53,29,10,8,2,0,0,494
ジェットフォイル,式根島,欠航便数,8,8,5,5,29,7,1,0,2,6,0,0,71
ジェットフォイル,式根島,就航率（％）,86.7,89.6,91.9,95.4,79.3,88.3,96.7,100,80,25,―,―,87.4
ジェットフォイル,神津島,就航予定便数,58,72,60,77,92,60,30,10,10,8,0,0,477
ジェットフォイル,神津島,就航便数／神津島,25,66,32,54,65,32,20,6,8,2,0,0,310
ジェットフォイル,神津島,就航便数／三浦,27,0,26,21,5,22,10,4,0,0,0,0,115
ジェットフォイル,神津島,就航便数／計,52,66,58,75,70,54,30,10,8,2,0,0,425
ジェットフォイル,神津島,欠航便数,6,6,2,2,22,6,0,0,2,6,0,0,52
ジェットフォイル,神津島,就航率（％）,89.7,91.7,96.7,97.4,76.1,90,100,100,80,25,―,―,89.1
ジェットフォイル,大島／熱海,就航予定便数,85,125,96,132,140,119,117,76,86,90,162,178,1406
ジェットフォイル,大島／熱海,就航便数,81,121,94,132,125,115,117,76,82,87,146,178,1354
ジェットフォイル,大島／熱海,欠航便数,4,4,2,0,15,4,0,0,4,3,16,0,52
ジェットフォイル,大島／熱海,就航率（％）,95.3,96.8,97.9,100,89.3,96.6,100,100,95.3,96.7,90.1,100,96.3
ジェットフォイル,大島／伊東,就航予定便数,18,12,36,4,0,0,12,16,24,22,50,53,247
ジェットフォイル,大島／伊東,就航便数,16,12,35,4,0,0,12,16,22,21,46,53,237
ジェットフォイル,大島／伊東,欠航便数,2,0,1,0,0,0,0,0,2,1,4,0,10
ジェットフォイル,大島／伊東,就航率（％）,88.9,100,97.2,100,―,―,100,100,91.7,95.5,92,100,96
ジェットフォイル,大島／下田,就航予定便数,0,0,0,0,0,0,0,0,0,0,0,0,0
ジェットフォイル,大島／下田,就航便数,0,0,0,0,0,0,0,0,0,0,0,0,0
ジェットフォイル,大島／下田,欠航便数,0,0,0,0,0,0,0,0,0,0,0,0,0
ジェットフォイル,大島／下田,就航率（％）,―,―,―,―,―,―,―,―,―,―,―,―,―
