学校名,課程,学科,卒業者数,卒業者数（男性）,卒業者数（女性）,大学等進学者数,就職者数,専修学校各種学校,その他
都立大島高等学校,全日制,普通,29,14,15,11,5,12,1
都立大島高等学校,全日制,併合,6,2,4,0,1,4,1
都立大島高等学校,定時制,普通,2,2,0,0,2,0,0
都立大島海洋国際高等学校,全日制,国際,78,57,21,34,5,32,7
都立新島高等学校,全日制,普通,18,12,6,12,2,1,3
都立神津高等学校,全日制,普通,8,6,2,3,2,3,0
合計,,,141,93,48,60,17,52,12
