町村,世帯数,人口／計,人口／男,人口／女,女100に対する男（％）,一世帯当たり人口,人口密度（1km2当たり）,対前年
東京都,7096624,13637348,6720970,6916378,97.17470618,1.921666979,6224,107295
区部,5077122,9396595,4622881,4773714,96.84034276,1.850771953,14992,93633
市部,1978366,4156737,2055543,2101194,97.82737815,2.101096056,5301,14237
町村部,41136,84016,42546,41470,102.5946467,2.042395955,108,-575
島部,14952,26048,13365,12683,105.3772767,1.742108079,64.19241954,-259
