行為種別,2015年度,2016年度,2017年度
工作物の新改増築／一般住宅,0,1,3
工作物の新改増築／宿泊施設,0,1,0
工作物の新改増築／店舗,0,0,0
工作物の新改増築／その他建築物,40,59,22
工作物の新改増築／道路・電柱等工作物,33,15,16
木竹の伐採,2,3,1
土石の採取,9,6,15
植物の採取,9,2,3
土地の形状変更,3,1,4
その他,1,6,5
届出,4,12,9
合計,101,106,78
(再掲)許可権者／環境大臣,3,7,3
(再掲)許可権者／地方事務所長,23,24,25
(再掲)許可権者／都知事,49,32,23
(再掲)許可権者／支庁長,26,43,27
