項目,大島町,利島村,新島村,神津島村,都内町村計,都内市町村計
市町村民税（千円）,449958,23967,140224,113018,5387547,355015098
市町村民税構成比（％）,46.5,52.9,40.9,47.9,39.4,48.7
市町村民税／個人分（千円）,402206,21663,129751,101672,4427094,307590434
市町村民税／個人分構成比（％）,41.6,47.8,37.8,43.1,32.4,42.2
市町村民税／法人分（千円）,47752,2304,10473,11346,960453,47424664
市町村民税／法人分構成比（％）,4.9,5.1,3.1,4.8,7,6.5
固定資産税（千円）,394243,17037,159592,95944,6420567,288577109
固定資産税構成比（％）,40.8,37.6,46.6,40.6,47,39.6
軽自動車税（千円）,42564,1620,16108,9494,271840,3883336
軽自動車税構成比（％）,4.4,3.6,4.7,4,2,0.5
市町村たばこ税（千円）,76328,2699,26527,17608,817278,24397031
市町村たばこ税構成比（％）,7.9,6,7.7,7.5,6,3.3
特別土地保有税（千円）,0,0,0,0,0,60
特別土地保有税構成比（％）,0,0,0,0,0,0
入湯税（千円）,3931,0,384,0,16882,41863
入湯税構成比（％）,0.4,0,0.1,0,0.1,0
その他（千円）,0,0,0,0,745636,57153884
その他構成比（％）,0,0,0,0,5.5,7.8
旧法による税（千円）,0,0,0,0,0,0
旧法による税構成比（％）,0,0,0,0,0,0
合計（千円）,967024,45323,342835,236064,13659750,729068381
合計構成比（％）,100,100,100,100,100,100
徴収率（％）,92.5,99.7,90,97,96.4,97.8
徴収率／現年課税分（％）,97.9,99.9,98.8,99.4,99,99.3
徴収率／滞納繰越分（％）,16.5,88.6,24.2,27.6,31.9,36.8
