町村,2006年度（％）,2007年度（％）,2008年度（％）,2009年度,2010年度（％）,2011年度（％）,2012年度（％）,2013年度（％）,2014年度（％）,2015年度（％）
大島町,100,115,125.1,123.1,130.2,117.1,130.9,207.8,222.5,169.2
利島村,100,93.9,90.3,108.8,101,97.4,94.5,88.8,98.8,99.1
新島村,100,113.7,124.7,125.6,117.1,128.8,119.6,127.8,115.5,144
神津島村,100,110.4,104.3,122,122.1,121.9,106.3,110.7,107.9,114.9
都内町村平均,100,102.8,104,113.1,117.9,114.5,113.6,119.7,121.6,119.8
都内市町村平均,100,102.7,103,111.8,114.9,114.5,114.5,114.8,119.5,122.5
