車種,大島（台）,利島（台）,新島（台）,神津島（台）,合計（台）
ダンプ／2t,40,6,8,4,58
ダンプ／3t,5,1,0,2,8
ダンプ／4t,44,1,11,15,71
ダンプ／8t,8,0,0,0,8
ダンプ／10t,33,4,6,7,50
ダンプ／11t,4,0,0,0,4
ダンプ小計,134,12,25,28,199
トラック（平床）／1t,3,0,9,3,15
トラック（平床）／1.5t,2,0,0,1,3
トラック（平床）／2t,8,0,5,1,14
トラック（平床）／4t,18,1,9,9,37
トラック（平床）／6t,1,0,0,0,1
トラック（平床）／8t,3,1,1,1,6
トラック（平床）／11t,9,0,4,2,15
トラック（平床）／32t,0,0,0,2,2
トラック小計,44,2,28,19,93
ブルドーザー,5,0,0,1,6
ペーローダー,80,3,25,17,125
パワーシャベル,145,8,20,52,225
クレーン車,6,1,12,10,29
コンプレッサー,19,1,7,10,37
ローラー,27,1,4,7,39
グレーダー,1,0,0,0,1
ミキサー車,33,4,17,12,66
パイプレーダー,9,6,4,28,47
ドーザーシャベル,0,0,0,0,0
ブレーカー,45,4,9,29,87
トラクター,15,1,1,1,18
その他小計,385,29,99,167,680
合計,563,43,152,214,972
