震度別,震度1  ,震度2,震度3,震度4,震度5弱,震度5強,震度6弱,震度6強,震度7,合計
伊豆大島町元町,3,3,0,0,0,0,0,0,0,6
伊豆大島町差木地,8,1,0,0,0,0,0,0,0,9
伊豆大島町波浮港,8,1,0,0,0,0,0,0,0,9
東京利島村東山,8,2,0,0,0,0,0,0,0,10
新島村本村,7,2,0,0,0,0,0,0,0,9
新島村大原,6,2,1,0,0,0,0,0,0,9
新島村式根島,5,2,1,0,0,0,0,0,0,8
神津島村金長,8,4,1,0,0,0,0,0,0,13
神津島村役場,7,3,2,0,0,0,0,0,0,12
