町村名,農地法第4条／件数（件）,農地法第4条／面積（m2）,農地法第5条／件数（件）,農地法第5条／面積（m2）
大島町,2,5726,5,2381
利島村,0,0,0,0
新島村,1,963,2,744
神津島村,0,0,1,868
合計,3,6689,8,3993
