月,着陸回数／新中央航空,着陸回数／その他,着陸回数／減免,着陸回数／合計,使用料／着陸料／大型(6ｔ以上)（円）,使用料／着陸料／小型(6ｔ未満)（円）,使用料／着陸料／合計（円）,使用料／停留料／機数,使用料／停留料／金額（円）,使用料／合計（円）
4,79,3,6,88,12719,3000,15719,0,0,15719
5,85,3,6,94,13685,3000,16685,1,810,17495
6,72,3,0,75,11592,3000,14592,0,0,14592
7,88,13,1,102,14168,13000,27168,1,810,27978
8,106,9,2,117,17066,9000,26066,0,0,26066
9,76,6,1,83,12236,6000,18236,0,0,18236
10,71,0,0,71,11431,0,11431,0,0,11431
11,84,2,5,91,13524,2000,15524,0,0,15524
12,84,1,3,88,13524,1000,14524,0,0,14524
1,82,3,5,90,13202,3000,16202,0,0,16202
2,79,4,2,85,12719,4000,16719,0,0,16719
3,78,1,5,84,12558,1000,13558,0,0,13558
計,984,48,36,1068,158424,48000,206424,2,1620,208044
