区分,給与所得（千円）,構成比（％）,営業所得（千円）,構成比（％）,農業所得（千円）,構成比（％）,その他の所得（千円）,構成比（％）,分離課税（千円）,構成比（％）,合計（千円）,構成比（％）
大島町,8499893,85.5,439288,4.4,20961,0.2,876555,8.8,107991,1.1,9944688,100
利島村,459457,90.7,20498,4,0,0,16273,3.2,10095,2,506323,100
新島村,2860600,86.4,208717,6.3,1085,0,228809,6.9,9960,0.3,3309171,100
神津島村,2001414,79.1,371827,14.7,1585,0.1,149522,5.9,5417,0.2,2529765,100
合計,13821364,84.8,1040330,6.4,23631,0.1,1271159,7.8,133463,0.8,16289947,100
