港名,入港船舶／隻数,入港船舶／総トン数,取扱貨物（トン）／出荷,取扱貨物（トン）／入荷,乗降客数（人）／乗客,乗降客数（人）／降客,乗降客数（人）／計
大島／元町港,1381,841878,15471,95126,74539,67571,142110
大島／岡田港,2260,3601968,11115,36021,156539,154151,310690
大島／波浮港,327,112227,4095,65512,0,0,0
大島／計,3968,4556073,30681,196659,231078,221722,452800
利島港,1323,2501981,54633,26984,7634,7389,15023
新島港,1557,2824359,15598,69842,26627,30181,56808
式根島港,0,0,0,0,0,0,0
神津島港,664,932593,12955,23518,22083,23814,45897
合計,7512,10815006,113867,317003,287422,283106,570528
