月,着陸回数／新中央航空,着陸回数／その他,着陸回数／減免,着陸回数／合計,使用料／着陸料／大型(6ｔ以上)（円）,使用料／着陸料／小型(6ｔ未満)（円）,使用料／着陸料／合計（円）,使用料／停留料／機数,使用料／停留料／金額（円）,使用料／合計（円）
4,83,1,3,87,13363,1000,14363,0,0,14363
5,75,0,2,77,12075,0,12075,0,0,12075
6,51,0,3,54,8211,0,8211,0,0,8211
7,64,3,4,71,10304,3000,13304,2,2430,15734
8,67,7,2,76,30887,9100,39987,0,0,39987
9,57,4,2,63,26277,5200,31477,0,0,31477
10,64,2,5,71,29504,2600,32104,0,0,32104
11,62,1,6,69,28582,1300,29882,0,0,29882
12,65,1,1,67,29965,1300,31265,0,0,31265
1,67,1,0,68,30887,1300,32187,1,1620,33807
2,63,1,2,66,29043,1300,30343,0,0,30343
3,83,0,9,92,38263,0,38263,0,0,38263
計,801,21,39,861,287361,26100,313461,3,4050,317511
