区分,第１次（％）,第２次（％）,第３次（％）,分類不能（％）
1995,8.3,26.7,64.5,0.4
2000,8.4,25.7,65.8,0.1
2005,7,23.3,68.2,1.5
2010,6.9,19.3,72.7,1.1
2015,4.7,21,73.6,0.7
管内平均（２０１５）,7.6,17.9,73.8,0.7
全都平均（２０１５）,0.4,15.3,72.1,12.1
全国平均（２０１５）,3.8,23.6,67.2,5.4
