投票区,31.3.1登録者数,内訳男,内訳女,30.3.1登録者数,増減
大島町／元町第１,2088,1056,1032,2119,-31
大島町／元町第２（北の山）,1152,556,596,1166,-14
大島町／岡田,683,323,360,684,-1
大島町／泉津,303,143,160,320,-17
大島町／野増第１,306,161,145,307,-1
大島町／野増第２（間伏）,127,60,67,130,-3
大島町／差木地第１,901,501,400,924,-23
大島町／差木地第２（クダッチ）,550,279,271,563,-13
大島町／波浮港,452,242,210,451,1
大島町／小計,6562,3321,3241,6664,-102
利島村,261,143,118,25,2
新島村／第１（本村）,1632,794,838,1649,-17
新島村／第２（式根島）,460,225,235,460,0
新島村／第３（若郷）,262,127,135,261,1
新島村／小計,2354,1146,1208,2370,-16
神津島村,1552,787,765,1561,-9
合計,10729,5397,5332,10854,-125
