区分,年齢,大島町,利島村,新島村,神津島村,計
年少人口,0～4,255,24,84,95,458
年少人口,5～9,282,20,95,94,491
年少人口,10～14,275,15,109,91,490
生産年齢人口,15～19,484,2,97,79,662
生産年齢人口,20～24,171,6,62,53,292
生産年齢人口,25～29,245,20,77,71,413
生産年齢人口,30～34,359,21,136,112,628
生産年齢人口,35～39,380,35,142,100,657
生産年齢人口,40～44,458,29,178,122,787
生産年齢人口,45～49,512,13,145,105,775
生産年齢人口,50～54,509,17,150,89,765
生産年齢人口,55～59,477,21,162,143,803
生産年齢人口,60～64,534,20,225,186,965
老年人口,65～69,796,23,256,159,1234
老年人口,70～74,653,16,224,115,1008
老年人口,75～79,531,11,175,95,812
老年人口,80～84,457,9,161,85,712
老年人口,85～89,299,12,149,64,524
老年人口,90～94,157,4,77,34,272
老年人口,95歳以上,46,3,20,2,71
合計,合計,7880,321,2724,1894,12819
