項目,大島町,利島村,新島村,神津島村,都内町村計,都内市町村計
自主財源／地方税（千円）,967024,45323,342835,236064,13659750,729068381
自主財源／地方税構成比（％）,9.5,3.6,8.6,8,19.1,44.7
自主財源／使用料・手数料（千円）,252370,18128,113103,52446,1743872,32481138
自主財源／使用料・手数料構成比（％）,2.5,1.5,2.8,1.8,2.4,2
自主財源／財産収入（千円）,20547,4457,33337,10326,383603,5110487
自主財源／財産収入構成比（％）,0.2,0.4,0.8,0.3,0.5,0.3
自主財源／その他（千円）,1174521,301974,326999,196927,7819340,138599798
自主財源／その他構成比（％）,11.5,24.2,8.2,6.6,10.9,8.5
自主財源／計（千円）,2414462,369882,816274,495763,23606565,905259804
自主財源／計構成比（％）,23.7,29.6,20.4,16.7,33,55.5
依存財源／地方交付税（千円）,2108693,377505,1472544,916719,15242395,49951063
依存財源／地方交付税構成比（％）,20.7,30.2,36.8,30.9,21.3,3.1
依存財源／国庫支出金（千円）,1041046,51396,105967,185268,5124291,274522048
依存財源／国庫支出金構成比（％）,10.2,4.1,2.7,6.2,7.2,16.8
依存財源／都支出金（千円）,3001231,425510,1318066,1166074,20032771,221393210
依存財源／都支出金構成比（％）,29.5,34.1,33,39.3,28,13.6
依存財源／地方債（千円）,1332840,13078,71730,263098,3909447,69498217
依存財源／地方債構成比（％）,13.1,1,1.8,8.9,5.5,4.3
依存財源／その他（千円）,273276,11355,106113,56469,3515081,111479839
依存財源／その他構成比（％）,2.7,0.9,2.7,1.9,4.9,15.3
依存財源／計（千円）,7757086,878844,3181078,2469970,47823985,726844377
依存財源／計構成比（％）,76.3,70.4,79.6,83.3,67,44.5
合計（千円）,10171548,1248726,3997352,2965733,71430550,1632104181
合計構成比（％）,100,100,100,100,100,100
