港名,入港船舶／隻数,入港船舶／総トン数,乗降客数／乗客(人）,乗降客数／降客(人）,乗降客数／計(人）
若郷漁港,237,77036,9107,6227,15334
羽伏漁港,8,3992,0,0,0
野伏漁港,1474,2772086,25932,26652,52584
三浦漁港,449,828692,15233,17997,33230
合計,2168,3681806,50272,50876,101148
