町村名,漁協名,許可漁業／中型まき網漁業,許可漁業／あじ・さば棒受け網漁業,許可漁業／底立てはえ縄漁業,許可漁業／とびうお流し刺し網漁業,許可漁業／潜水器漁業,許可漁業／その他の漁業,委員会承認漁業／はご釣り漁業,いか釣漁業,委員会承認漁業／火光利用とびうお漁業,委員会承認漁業／浮きはえ縄漁業,委員会承認漁業／かにかご漁業
大島町,伊豆大島漁協,,,,4,,,20,2,,,
大島町,元町漁協,,,,2,,1,0,,,,
利島村,利島村漁協,,,,1,16,,5,2,3,,
新島村,にいじま漁協,4,2,,1,10,6,11,26,12,,3
神津島村,神津島漁協,,,1,8,,1,,48,44,1,2
計,,4,2,1,16,26,8,36,78,59,1,5
