町村名,事業内容,事業実施主体,総事業費（円）,経費負担／補助金（円）,経費負担／町村費（円）,経費負担／事業実施主体（円）
大島町,栽培施設(竹簾ハウス設置),伊豆大島千両研究会,11823080,8867000,0,2956080
大島町,栽培施設(防風ネット等設置),ﾚﾓﾝ栽培による島おこし事業,5900000,4253000,0,1647000
大島町,被災施設再建(ハウス等設置),特認経営体,59604745,44318000,0,15286745
新島村,栽培施設（ハウス設置）,特認経営体,3532269,2649000,0,883269
新島村,栽培施設（ハウス設置）,特認経営体,11767112,8825000,0,2942112
合計,,,92627206,68912000,0,23715206
