町村,2006年度（％）,2007年度（％）,2008年度（％）,2009年度（％）,2010年度（％）,2011年度（％）,2012年度（％）,2013年度（％）,2014年度（％）,2015年度（％）
大島町,91.4,89.8,88.4,87.1,85.8,84.5,87.3,84.9,91.9,84
利島村,99.9,86.6,86.5,89.1,84.8,78,88.4,87.7,75.2,73.5
新島村,87.6,84.1,78.6,74.2,72.9,82.1,84.6,82.4,83.9,79.5
神津島村,85.7,86.1,71.5,76.3,74.8,79.2,80.9,79.6,82.1,79.1
都内町村平均,90.5,90,86.5,86.2,82.5,87.3,87.1,87.5,89.6,86.6
都内市町村平均,88.7,91.3,91.7,91.2,90.8,90.8,91.6,90.9,90.7,88.1
