農業協同組合名,町村名,組合員の数／正組合員,組合員の数／准組合員,組合員の数／計,備考
東京島しょ農業協同組合,大島町,466,579,1045,店舗等なし
東京島しょ農業協同組合,利島村,59,14,73,利島店
東京島しょ農業協同組合,新島村,231,5,236,店舗等なし
東京島しょ農業協同組合,神津島村,9,150,159,店舗等なし
東京島しょ農業協同組合,管内計,765,748,1513,
新島村農業協同組合,新島村,87,1169,256,平成27年11月26日設立認可
神津島農業協同組合,神津島村,45,353,398,平成27年12月2日設立認可
