区分,大島町,利島村,新島村,神津島村,管内計
経営耕地面積(ha)／畑,75,4,4,4,87
経営耕地面積(ha)／樹園地,5,121,0,0,126
経営耕地面積(ha)／計,80,125,4,4,213
総面積（km2),90.76,4.12,27.54,18.58,140.99
耕地率（%）,0.88,30.3,0.15,0.22,1.51
経営耕地のある農業経営体数（経営体）,79,38,6,19,142
1経営体当たり耕地面積（ha),1.01,3.29,0.67,0.21,1.5
