区分,大島町,利島村,新島村,神津島村
行政区域内人口（人）,7716,315,2722,1898
下水道・集落排水事業加入世帯数,-,-,744,762
全世帯数,-,-,1381,922
汲取し尿及び浄化槽汚泥収集／年間収集量／汲取し尿（kl）,990,-,128,300
汲取し尿及び浄化槽汚泥収集／年間収集量／浄化槽汚泥（kl）,8497,609,1490,198
汲取し尿及び浄化槽汚泥収集／年間収集量／計（kl）（Ａ）,9487,609,1618,498
汲取し尿及び浄化槽汚泥収集／一日収集量(A/365)(kl),26,1.7,4.4,1.4
汲取し尿及び浄化槽汚泥収集／年間処理内訳／施設（kl）（B）,9487,-,-,498
汲取し尿及び浄化槽汚泥収集／年間処理内訳／施設処理率(B/A)(%),100,-,-,100
汲取し尿及び浄化槽汚泥収集／年間処理内訳／埋立(kl),-,609,1618,-
汲取し尿及び浄化槽汚泥収集／年間処理内訳／農村還元(kl),-,-,-,-
汲取し尿及び浄化槽汚泥収集／年間処理内訳／その他(kl),-,-,-,-
