港名,入港船舶／隻数,入港船舶／総トン数,乗降客数／乗客(人）,乗降客数／降客(人）,乗降客数／計(人）
若郷漁港,182,101738,6467,5042,11509
羽伏漁港,12,10393,0,0,0
野伏漁港,1533,2531269,26573,26860,53433
三浦漁港,368,735615,11885,12473,24358
合計,2095,3379015,44925,44375,89300
