区分,総数,大島町,利島村,新島村,神津島村
総数,1987,1975,0,6,6
赤痢･チフス･パラチフス及びその他のサルモネラ,1087,1081,0,3,3
病原性大腸菌Ｏ－157,900,894,0,3,3
