町村名,条例／工場,条例／指定作業場,大気汚染防止法ばい煙・粉じん施設,水質汚濁防止法一般特定,ダイオキシン類対策
大島町,44,35,15,35,5
利島町,6,0,1,1,2
新島町,24,5,3,15,3
神津島村,11,5,2,23,1
計,85,45,21,74,11
