町村,世帯数,人口／計,人口／男,人口／女,女100に対する男（％）,一世帯当たり人口,人口密度（1km2当たり）,対前年
大島町／元町,1425,2437,1227,1210,101.4,1.71,188,-53
大島町／北の山,768,1360,663,697,95.1,1.77,192,-31
大島町／岡田,439,833,400,433,92.4,1.9,107,-1
大島町／泉津,202,334,156,178,87.6,1.65,15,-19
大島町／野増,289,471,247,224,110.3,1.63,25,-6
大島町／差木地,1053,1644,905,739,122.5,1.56,80,-40
大島町／波浮港,459,637,373,264,141.3,1.39,354,-14
大島町／計,4635,7716,3971,3745,106,1.66,85,-164
利島村,174,323,175,148,118.2,1.86,78,2
新島村／本村,948,1895,924,971,95.2,2,103,-10
新島村／若郷,152,304,151,153,98.7,2,56,4
新島村／式根島,281,523,250,273,91.6,1.86,134,4
新島村／計,1381,2722,1325,1397,94.8,1.97,98,-2
神津島村,917,1898,975,923,105.6,2.7,101,4
合 計,7107,12659,6446,6213,103.8,1.78,89,-160
