水揚量,漁獲量（トン）／魚類,漁獲量（トン）／貝類,漁獲量（トン）／水産動物,漁獲量（トン）／藻類,漁獲量（トン）／小計,漁獲金額（千円）
大島町／伊豆大島（泉津・岡田）,17.2,0.2,1.5,33.3,52.2,54061
大島町／伊豆大島（野増・差木地・波浮港）,58.2,23.5,5.8,28.5,116.1,126125
大島町／元町,6.0,4.8,2.5,7.7,20.9,34080
大島町／小計,81.4,28.5,9.8,69.5,189.2,214266
利島村／利島村,3.2,10.8,7.3,5.3,26.6,49896
新島村／にいじま（若郷）,28.1,0.1,1.0,0.0,29.2,43438
新島村／にいじま（本村）,42.8,1.0,4.9,20.3,69.0,96462
新島村／にいじま（式根島）,37.4,0.0,6.6,16.5,60.6,76615
新島村／小計,108.3,1.1,12.5,36.8,158.8,216515
神津島村／神津島,778.1,0.2,16.1,42.5,836.9,1129886
合計,970.9,40.7,45.8,154.1,1211.5,1610563
