年度,キジ,コジュケイ,ヤマシギ,キジバト,カラス,スズメ,ウズラ,その他鳥類,リス,その他獣類,計
2012,33,20,15,70,6,0,0,94,63,0,301
2013,1,2,2,5,0,0,0,0,11,0,21
2014,6,5,2,3,0,0,0,31,35,0,82
2015,10,4,27,36,0,0,0,18,65,0,160
2016,24,5,31,1,7,0,0,24,144,0,236
