区分,件名,工事請負費（千円）,委託料（千円）,計（千円）,摘 要
自然公園管理費,海のふるさと村清掃委託,,22574,22574,
自然公園管理費,大島公園椿園管理委託,,39143,39143,
自然公園管理費,大島公園浄化槽保守点検清掃委託,,6241,6241,
自然公園管理費,新島羽伏浦公園管理委託,,4644,4644,
自然公園管理費,式根島園地施設浄化槽点検他清掃委託 ,,1452,1452,
自然公園管理費,園地清掃管理委託(神津島村),,7256,7256,
自然公園管理費,大島公園マツノザイセンチュウ防除作業委託,,13824,13824,
自然公園管理費,大島公園照明設備改修工事,19904,,19904,
自然公園管理費,その他の工事請負費及び委託料,43054,196753,239807,
自然公園管理費,計,62958,291887,354845,
自然公園整備費,海のふるさと村取付道路改修設計,,3106,3106,
自然公園整備費,トウシキ野営場便所改築基本・実施設計,,2678,2678,
自然公園整備費,大島管内歩道改修設計,,1814,1814,
自然公園整備費,大島集団施設地区内危険木点検委託,,9182,9182,
自然公園整備費,大島集団施設地区内危険木伐採剪定作業委託,,6264,6264,
自然公園整備費,大島特別天然記念物サクラ㈱樹勢回復調査設計委託,,945,945,
自然公園整備費,海のふるさと村取付道路改修工事,37249,,37249,
自然公園整備費,大島公園椿園施設改修工事,21978,,21978,
自然公園整備費,海のふるさと村設備改修工事,8092,,8092,
自然公園整備費,大島管内歩道改修工事,9828,,9828,
自然公園整備費,大島仲の原園地施設改修工事,73099,,73099,
自然公園整備費,新島羽伏浦公園施設改修工事,15731,,15731,
自然公園整備費,その他の工事請負費及び委託料,82239,2188,84427,
自然公園整備費,計,248216,26177,274393,
外来生物対策事業費,大島キョン防除委託(単価契約) 北部地区,,58743,58743,
外来生物対策事業費,大島キョン防除委託(単価契約) 南部地区,,67756,67756,
外来生物対策事業費,計,0,126499,126499,
緊急対策事業費,大島キョン地籍調査承諾業務委託,,67457,67457,
緊急対策事業費,大島キョン防除委託（高密度地域）,,70646,70646,
緊急対策事業費,大島キョン防除委託（市街地周辺地域）（単価契約）,,31813,31813,
緊急対策事業費,大島キョン防除委託（開放地）,,124276,124276,
緊急対策事業費,大島キョン防除委託（従来捕獲拡充）,,79380,79380,
緊急対策事業費,大島キョン防除柵設置工事（単価契約）,84497,0,84497,
緊急対策事業費,その他の委託料,,12503,12503,
緊急対策事業費,計,84497,386075,470572,
