区分,総数,大島町,利島村,新島村,神津島村
総数,1688,1682,0,6,0
赤痢･チフス･パラチフス及びその他のサルモネラ,902,899,0,3,0
病原性大腸菌Ｏ－157,786,783,0,3,0
