区分,年齢,大島町,利島村,新島村,神津島村,計
年少人口,0～4,221,15,87,92,415
年少人口,5～9,284,24,97,102,507
年少人口,10～14,270,22,93,85,470
生産年齢人口,15～19,471,5,106,93,675
生産年齢人口,20～24,169,6,59,47,281
生産年齢人口,25～29,262,17,71,66,416
生産年齢人口,30～34,318,25,143,105,591
生産年齢人口,35～39,387,31,138,113,669
生産年齢人口,40～44,422,34,170,117,743
生産年齢人口,45～49,504,13,154,104,775
生産年齢人口,50～54,493,16,145,88,742
生産年齢人口,55～59,491,20,170,128,809
生産年齢人口,60～64,538,17,211,189,955
老年人口,65～69,720,22,244,161,1147
老年人口,70～74,650,19,250,127,1046
老年人口,75～79,589,10,175,94,868
老年人口,80～84,427,11,163,71,672
老年人口,85～89,305,10,144,76,535
老年人口,90～94,146,5,80,34,265
老年人口,95歳以上,49,1,22,6,78
合計,合計,7716,323,2722,1898,12659
