町村,2007年度（％）,2008年度（％）,2009年度（％）,2010年度（％）,2011年度（％）,2012年度（％）,2013年度（％）,2014年度（％）,2015年度（％）,2016年度（％）
大島町,26.2,22.9,24,21.8,23.2,20.4,25.9,20.2,21.1,23.7
利島村,17.8,16,20.4,13,13.3,16.5,13.8,23.7,15.9,29.6
新島村,20.7,24.7,24.2,19.4,24.1,22.3,19.7,19.8,19.9,21
神津島村,23.7,22.5,16.1,17.9,17,19.6,16.7,19.8,15.4,16.1
都内町村平均,36.2,34.7,34.3,35.7,35,35.2,33.7,33.6,31.5,33
都内市町村平均,65.7,62.2,61.7,57.8,56.9,56.7,57.2,56.5,54.5,55.5
