品目,単位,大島町,利島村,新島村,神津島村,計,平均単価（円）,生産金額（千円）
木炭,kg,8235,105,-,-,8340,320,2669
椿油,リットル,10126,19458,-,-,29584,4200,124253
町村別生産額,千円,45165,81757,-,-,-,-,126922
