項目,大島町,利島村,新島村,神津島村,合計
一般公共事業債（千円）,0,0,0,0,0
一般単独事業債（千円）,403600,0,1220,3900,408720
公営住宅建設事業債（千円）,0,0,49891,0,49891
学校教育施設等整備事業債（千円）,397654,6022,168499,43968,616143
辺地対策事業債（千円）,1490001,1961,426333,352748,2271043
災害復旧事業債（千円）,614,0,0,0,614
災害復旧事業債／単独災害復旧事業債（千円）,0,0,0,0,0
災害復旧事業債／補助災害復旧事業債（千円）,614,0,0,0,614
一般廃棄物処理事業債（千円）,1212713,0,80159,0,1292872
社会福祉施設整備事業債（千円）,0,0,0,0,0
過疎対策事業債（千円）,780882,0,676620,0,1457502
財源対策債（千円）,248872,0,0,0,248872
臨時財政特例債（千円）,0,0,0,0,0
調整債（千円）,0,0,0,0,0
都道府県貸付金（千円）,2118711,49917,29171,0,2197799
その他（千円）,2342838,260882,1121298,716399,4441417
合計（千円）,8995885,318782,2553191,1117015,12984873
