町村,総数,世帯主が働いている世帯／計,世帯主が働いている世帯／常用労働者,世帯主が働いている世帯／日雇労働者,世帯主が働いている世帯内職者,世帯主が働いている世帯その他,世帯員が働いている世帯,働いている者のいない世帯
総数,163,19,7,7,-,5,1,143
大島町,129,14,4,7,-,3,1,114
利島村,1,-,-,-,-,-,-,1
新島村,16,3,2,-,-,1,-,14
神津島村,17,3,1,1,-,1,-,14
