就航状況（東京～各島間）,ジェットフォイル／就航予定便数,ジェットフォイル／就航便数,ジェットフォイル／欠航便数,ジェットフォイル／就航率（％）,在来船／就航予定便数,在来船／就航便数,在来船／欠航便数,在来船／就航率（％）
大島,2327,2213,114,95.1,538,531,7,98.7
利島,418,292,126,69.9,538,457,81,84.9
新島,554,484,70,87.4,538,493,45,91.6
式根島,565,494,71,87.4,538,488,50,90.7
神津島,477,425,52,89.1,538,510,28,94.8
横浜,－,－,－,－,115,115,0,100
