船別,島名,項目,４月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月,合計
ジェットフォイル,新島／熱海,就航予定便数,0,0,0,0,0,0,0,0,0,0,0,0,0
ジェットフォイル,新島／熱海,就航便数,0,0,0,0,0,0,0,0,0,0,0,0,0
ジェットフォイル,新島／熱海,欠航便数,0,0,0,0,0,0,0,0,0,0,0,0,0
ジェットフォイル,新島／熱海,就航率（％）,―,―,―,―,―,―,―,―,―,―,―,―,―
ジェットフォイル,神津島／熱海,就航予定便数,0,0,0,9,16,0,0,0,0,0,0,0,25
ジェットフォイル,神津島／熱海,就航便数,0,0,0,9,15,0,0,0,0,0,0,0,24
ジェットフォイル,神津島／熱海,欠航便数,0,0,0,0,1,0,0,0,0,0,0,0,1
ジェットフォイル,神津島／熱海,就航率（％）,―,―,―,100,93.8,―,―,―,―,―,―,―,96
在来船,大島,就航予定便数,10,30,14,52,62,52,44,50,52,54,56,62,538
在来船,大島,就航便数／元町,1,8,2,10,12,3,3,4,9,3,2,5,62
在来船,大島,就航便数／岡田,9,22,12,42,47,45,41,46,43,51,54,57,469
在来船,大島,就航便数／計,10,30,14,52,59,48,44,50,52,54,56,62,531
在来船,大島,欠航便数,0,0,0,0,3,4,0,0,0,0,0,0,7
在来船,大島,就航率（％）,100,100,100,100,95.2,92.3,100,100,100,100,100,100,98.7
在来船,利島,就航予定便数,10,30,14,52,62,52,44,50,52,54,56,62,538
在来船,利島,就航便数,8,27,14,52,49,46,44,45,46,37,44,45,457
在来船,利島,欠航便数,2,3,0,0,13,6,0,5,6,17,12,17,81
在来船,利島,就航率（％）,80,90,100,100,79,88.5,100,90,88.5,68.5,78.6,72.6,84.9
在来船,新島,就航予定便数,10,30,14,52,62,52,44,50,52,54,56,62,538
在来船,新島,就航便数／新島,9,28,14,52,54,48,43,45,45,47,49,59,493
在来船,新島,就航便数／羽伏,0,0,0,0,0,0,0,0,0,0,0,0,0
在来船,新島,就航便数／計,9,28,14,52,54,48,43,45,45,47,49,59,493
在来船,新島,欠航便数,1,2,0,0,8,4,1,5,7,7,7,3,45
在来船,新島,就航率（％）,90,93.3,100,100,87.1,92.3,97.7,90,86.5,87,87.5,95.2,91.6
在来船,式根島,就航予定便数,10,30,14,52,62,52,44,50,52,54,56,62,538
在来船,式根島,就航便数／野伏,8,28,14,52,53,47,43,44,45,46,49,59,488
在来船,式根島,就航便数／式根島,0,0,0,0,0,0,0,0,0,0,0,0,0
在来船,式根島,就航便数／計,8,28,14,52,53,47,43,44,45,46,49,59,488
在来船,式根島,欠航便数,2,2,0,0,9,5,1,6,7,8,7,3,50
在来船,式根島,就航率（％）,80,93.3,100,100,85.5,90.4,97.7,88,86.5,85.2,87.5,95.2,90.7
在来船,神津島,就航予定便数,10,30,14,52,62,52,44,50,52,54,56,62,538
在来船,神津島,就航便数／神津島,6,18,6,52,54,36,34,34,18,12,4,34,308
在来船,神津島,就航便数／三浦,4,10,8,0,0,12,10,14,28,40,48,28,202
在来船,神津島,就航便数／計,10,28,14,52,54,48,44,48,46,52,52,62,510
在来船,神津島,欠航便数,0,2,0,0,8,4,0,2,6,2,4,0,28
在来船,神津島,就航率（％）,100,93.3,100,100,87.1,92.3,100,96,88.5,96.3,92.9,100,94.8
在来船,横浜,就航予定便数,4,8,7,0,0,0,12,16,18,17,16,17,115
在来船,横浜,就航便数,4,8,7,0,0,0,12,16,18,17,16,17,115
在来船,横浜,欠航便数,0,0,0,0,0,0,0,0,0,0,0,0,0
在来船,横浜,就航率（％）,100,100,100,―,―,―,100,100,100,100,100,100,100
