区分,1月（％）,2月（％）,3月（％）,4月（％）,5月（％）,6月（％）,7月（％）,8月（％）,9月（％）,10月（％）,11月（％）,12月（％）,2018年来島数（人）
大島,6.2,9.6,13.1,6.4,8,6.6,8.4,12.2,7.8,7.3,7.4,6.9,243476
利島,6.7,5.1,5.9,7.4,11.2,2.7,13.5,15,11.2,8,8.2,5.3,8217
新島,4.9,5.1,6.2,7.4,10.7,6.7,12.2,21.5,10.9,5.8,4.6,4.1,62375
式根島,1.9,2,3.8,5.2,7,3.9,17.5,31.9,15,5.6,3.7,2.6,26685
神津島,3.9,3.3,5.3,5.9,8.8,4.8,13.8,25.9,12.7,5.8,5.3,4.5,45743
