島名,事業項目,事業細々目,箇所名,施工地又は受益地,事業主体,着工年度,完了年度,全体計画／事業費（単位：千円）,全体計画／国費（単位：千円）
大島,治山,復旧治山,八重沢,元町,都,2015,2020,329220,181071
大島,治山,復旧治山,佐久川,元町,都,2018,2021,134000,73700
大島,治山,治山計,,,,,,463220,254771
大島,港湾,地方港湾,元町港,元町,都,1986,2031,16591993,12123002
大島,港湾,港湾計,,,,,,16591993,12123002
大島,農業農村整備,農村地域防災減災事業,滝川,差木地,町,2016,2019,61700,33935
大島,農業農村整備,農業農村整備計,,,,,,61700,32835
大島,水産基盤,機能強化,泉津漁港,泉津,都,2013,2022,854700,854700
大島,水産基盤,水産基盤計,,,,,,854700,854700
大島,廃棄物処理,浄化槽設置整備,大島町,大島町内,町,2016,2020,60150,30075
大島,廃棄物処理,廃棄物処理計,,,,,,60150,30075
大島,社会資本整備総合交付金,都道（特殊改良）,大島循環線,泉津,都,2015,2021,370000,185000
大島,社会資本整備総合交付金,都道（特殊改良）,大島循環線,間伏・差木地,都,2014,2020,191000,95500
大島,社会資本整備総合交付金,港湾改修,岡田港,岡田,都,2009,2020,1074534,567097
大島,社会資本整備総合交付金,特殊公園,大島町,メモリアル公園,町,2016,2018,497977,152119
大島,社会資本整備総合交付金,特殊公園,大島町,メモリアル公園,町,2017,2020,1206000,603000
大島,社会資本整備総合交付金,地域住宅計画に基づく事業,泉津,泉津,町,2019,2019,27844,12529
大島,社会資本整備総合交付金,地域住宅計画に基づく事業,差木地,差木地,町,2019,2019,276991,110751
大島,社会資本整備総合交付金,社会資本整備総合交付金計,,,,,,3304584,1628122
大島,防災・安全交付金,港湾改修,岡田港,岡田,都,2012,2024,816372,464058
大島,防災・安全交付金,港湾改修,波浮港,波浮,都,2004,2032,19335930,15279765
大島,防災・安全交付金,火山砂防,差木地沢,差木地,都,2009,2019,3069000,1687950
大島,防災・安全交付金,火山砂防,滝川沢,野増,都,2011,2020,1900000,1045000
大島,防災・安全交付金,火山砂防,大金沢,元町,都,1990,2026,10977000,6037350
大島,防災・安全交付金,火山砂防,佐久川,元町,都,2017,2022,1354000,744700
大島,防災・安全交付金,海岸堤防等老朽化対策緊急事業,波浮港,波浮,都,2018,2022,550000,302500
大島,防災・安全交付金,防災・安全交付金計,,,,,,38002302,25561323
大島,農山漁村地域整備交付金,農業農村整備,岡田平浜,岡田,町,2015,2018,80000,44000
大島,農山漁村地域整備交付金,農業農村整備,大滝,波浮,町,2019,2023,126000,69300
大島,農山漁村地域整備交付金,水利施設整備事業,大滝,波浮,町,2019,2023,126000,69300
大島,農山漁村地域整備交付金,農山漁村地域整備交付金計,,,,,,332000,182600
大島,大島計,,,,,,,60010411,40592812
利島,港湾,地方港湾,利島港,前浜,都,1991,2021,16913951,12409084
利島,港湾,港湾計,,,,,,16913951,12409084
利島,廃棄物処理,有機性廃棄物リサイクル推進施設,利島村,利島村内,村,2017,2018,388810,129603
利島,廃棄物処理,廃棄物処理計,,,,,,388810,129603
利島,社会資本整備総合交付金,港湾改修,利島港,前浜,都,2004,2022,3111540,2251232
利島,社会資本整備総合交付金,社会資本整備総合交付金計,,,,,,3111540,2251232
利島,防災・安全交付金,港湾改修,利島港,前浜,都,2008,2019,7355000,5687500
利島,防災・安全交付金,防災・安全交付金計,,,,,,7355000,5687500
利島,利島計,,,,,,,27769301,20477419
新島,治山,復旧治山,新島山,新島山,都,2018,2021,244600,134530
新島,治山,治山計,,,,,,244600,134530
新島,港湾,地方港湾,新島港,前浜,都,1980,2022,13962809,10625859
新島,港湾,港湾計,,,,,,13962809,10625859
新島,水産基盤,水産生産,羽伏漁港,羽伏,都,2013,2022,5356000,3818500
新島,水産基盤,水産生産,若郷漁港,若郷,都,2013,2022,1896000,1462800
新島,水産基盤,水産基盤計,,,,,,7252000,5281300
新島,廃棄物処理,焼却施設,新島村,字檜山,村,2016,2018,1495800,498600
新島,廃棄物処理,廃棄物処理計,,,,,,1495800,498600
新島,社会資本整備総合交付金,港湾改修,新島港,前浜,都,2009,2031,3163000,2465400
新島,社会資本整備総合交付金,港湾計,,,,,,3163000,2465400
新島,社会資本整備総合交付金,下水道,本村地区,本村地区,村,2000,2025,4941977,2380327
新島,社会資本整備総合交付金,下水道計,,,,,,4941977,2380327
新島,社会資本整備総合交付金,社会資本整備総合交付金計,,,,,,8104977,4845727
新島,防災・安全交付金,港湾改修,新島港,前浜,都,2012,2019,879000,586000
